,ID,reg1,reg2,reg3,reg4,home,chld,hinc,genf,wrat,avhv,incm,inca,plow,npro,tgif,lgif,rgif,tdon,tlag,agif,donr
3479,6945,0,0,0,0,1,2,5,0,8,259,42,68,5,9,45,14,12,8,4,11.55,0.0
594,2339,0,0,0,0,1,2,5,0,9,69,36,36,23,88,137,27,11,16,7,11.78,0.0
777,1576,0,1,0,0,1,3,4,0,4,93,14,26,49,46,83,8,10,33,3,6.91,0.0
2314,4634,0,1,0,0,1,2,4,1,9,127,17,38,21,30,56,22,16,19,6,12.53,1.0
1018,2015,0,0,0,0,1,0,6,1,9,162,59,59,3,99,310,6,4,14,6,5.56,1.0
1606,3150,0,0,0,1,1,3,3,0,9,207,53,69,2,56,85,6,5,17,5,6.51,0.0
2505,4996,0,0,0,1,1,0,4,1,4,161,33,69,24,108,129,16,15,21,6,10.38,1.0
2807,5625,1,0,0,0,0,1,7,0,8,88,18,20,40,23,61,17,17,23,5,12.32,0.0
338,1300,0,1,0,0,1,1,6,0,8,218,73,73,2,100,201,18,8,23,7,27.28,0.0
3213,6407,1,0,0,0,1,2,4,1,8,316,92,92,0,74,118,28,18,21,6,19.37,1.0
1491,2934,0,1,0,0,1,0,1,1,8,148,30,49,18,129,304,17,13,17,4,7.76,1.0
1001,3939,0,1,0,0,1,2,2,1,8,241,62,62,1,108,289,18,14,21,5,9.17,1.0
550,2201,1,0,0,0,1,0,4,1,8,164,31,50,20,120,177,19,17,11,6,7.74,1.0
1639,6452,0,0,0,0,1,2,6,0,9,318,72,108,0,14,38,31,19,19,8,16.24,0.0
3660,7312,1,0,0,0,1,4,5,1,9,145,37,50,6,79,210,9,6,22,7,8.73,0.0
1885,7520,0,1,0,0,1,0,2,0,9,170,57,78,11,33,52,20,21,10,6,9.37,1.0
2877,5755,0,0,0,0,1,2,4,1,8,143,31,39,18,70,110,31,30,26,4,11.2,0.0
1593,3127,0,0,0,1,1,3,5,1,8,115,28,32,15,43,65,5,4,30,9,5.31,0.0
517,1079,1,0,0,0,1,0,4,1,6,183,33,69,22,59,86,31,29,19,11,20.88,1.0
321,670,1,0,0,0,1,0,4,0,8,231,72,72,3,39,80,14,6,20,6,13.22,1.0
1281,5046,0,1,0,0,1,1,4,1,5,153,24,44,20,112,284,5,6,14,14,3.78,1.0
1652,6505,0,1,0,0,1,1,3,1,9,222,34,48,11,36,64,57,40,23,3,18.75,1.0
116,435,0,1,0,0,1,0,7,1,7,101,20,38,27,62,78,6,8,19,7,5.06,1.0
3689,7389,1,0,0,0,1,0,3,1,8,103,27,45,15,83,111,16,16,13,5,6.95,1.0
217,465,1,0,0,0,1,3,4,1,8,119,34,38,10,73,73,15,10,19,8,11.14,0.0
2655,5317,0,1,0,0,1,2,7,1,9,97,25,34,23,87,144,10,7,12,9,5.73,0.0
2388,4755,0,0,0,0,1,0,6,1,8,211,57,61,5,48,55,15,15,22,9,10.21,0.0
360,746,0,0,0,1,1,3,2,1,5,132,56,56,9,116,323,8,5,26,5,7.56,0.0
392,1529,0,0,0,0,1,0,1,1,8,258,101,101,0,103,167,70,46,14,4,24.3,1.0
3336,6656,0,0,0,1,1,2,4,1,4,236,53,68,6,39,66,13,7,38,3,10.41,0.0
3010,5988,0,1,0,0,1,0,5,1,9,164,38,43,9,110,384,194,32,18,7,25.12,1.0
2318,4638,0,1,0,0,1,3,4,1,6,171,31,52,11,57,88,13,13,14,10,4.2,1.0
1052,2085,0,1,0,0,1,1,2,1,9,149,43,43,14,57,94,5,2,24,4,3.4,1.0
1157,4580,0,0,0,0,1,5,3,1,9,158,39,49,5,102,124,8,7,20,4,5.89,0.0
759,1550,0,1,0,0,1,0,4,1,8,336,47,68,3,75,133,7,5,20,10,3.58,1.0
684,2723,1,0,0,0,1,3,4,1,9,129,37,43,4,51,91,38,31,19,22,16.09,0.0
1073,4235,0,0,0,0,1,2,2,0,4,217,80,80,0,147,223,24,34,22,3,15.59,0.0
2013,7999,0,0,1,0,1,2,1,0,0,192,49,61,4,69,72,58,25,39,7,17.65,0.0
1426,2794,0,1,0,0,1,1,4,0,8,152,20,52,28,81,108,7,8,10,3,5.11,1.0
852,3379,0,0,0,0,1,0,3,1,8,71,14,16,47,73,101,7,9,20,2,7.72,1.0
3697,7401,0,0,0,0,1,0,5,0,8,158,29,42,8,64,122,18,12,16,3,11.22,1.0
214,461,0,0,0,1,1,3,4,0,8,149,42,44,13,45,45,4,4,25,4,4.11,0.0
1614,3164,0,1,0,0,0,4,3,0,4,149,17,49,21,27,70,70,20,21,3,12.01,0.0
692,2758,0,0,0,0,1,2,5,0,7,328,111,114,0,44,96,8,7,24,11,5.14,0.0
1717,3370,0,1,0,0,1,2,5,0,9,242,54,69,4,123,324,9,9,10,3,5.18,1.0
2741,5485,1,0,0,0,1,1,4,1,9,270,53,77,2,61,116,21,20,20,6,17.16,1.0
2053,4070,0,1,0,0,1,3,4,1,9,148,46,46,14,34,70,18,11,13,7,13.9,1.0
2998,5965,1,0,0,0,1,0,4,1,4,189,57,75,9,18,45,19,11,24,6,13.1,1.0
1983,3921,0,1,0,0,0,2,1,1,8,151,47,51,5,67,164,21,16,23,7,10.12,0.0
1702,3349,0,0,0,0,1,2,4,0,9,239,73,77,0,124,847,14,9,18,5,8.53,1.0
3101,6177,0,0,0,0,1,1,5,1,8,189,28,42,15,73,91,6,4,20,6,3.44,0.0
3034,6040,0,0,1,0,1,0,4,1,8,135,24,60,15,31,48,17,8,14,4,10.04,1.0
1344,5293,0,1,0,0,0,0,4,0,6,146,42,49,12,21,44,38,32,22,3,18.0,0.0
196,432,0,0,0,1,1,0,5,1,8,143,17,35,24,16,66,66,46,15,14,17.71,1.0
725,1491,1,0,0,0,1,0,4,1,6,127,64,64,11,76,138,50,15,25,14,16.57,1.0
3918,7876,0,1,0,0,1,2,1,0,8,182,23,52,12,115,326,9,4,19,6,4.48,0.0
1512,2978,1,0,0,0,0,2,4,1,8,172,31,41,8,57,75,32,38,15,3,25.23,0.0
2623,5244,1,0,0,0,1,4,5,1,8,91,19,39,58,50,58,9,6,36,7,7.21,0.0
555,2214,1,0,0,0,1,3,4,1,6,177,42,42,18,94,135,5,4,14,5,4.54,1.0
712,2832,0,0,0,0,1,1,6,1,8,358,78,123,0,97,137,22,21,17,4,7.61,0.0
1056,2089,1,0,0,0,1,5,4,0,2,264,38,74,1,117,404,12,8,14,9,9.05,0.0
933,3680,0,0,0,0,1,2,6,0,8,146,30,44,30,40,55,9,5,15,3,6.31,0.0
887,1759,0,0,1,0,1,2,4,1,8,156,12,20,40,17,46,7,9,24,5,5.69,0.0
2698,5392,1,0,0,0,1,2,4,1,8,211,52,61,0,46,92,15,14,18,4,9.22,1.0
1092,2147,0,0,0,0,1,1,4,0,9,189,71,73,0,44,90,4,3,14,4,4.37,1.0
1114,4402,1,0,0,0,1,2,6,0,3,93,15,29,45,72,158,19,14,18,5,10.37,0.0
142,530,0,0,1,0,1,0,4,0,6,234,80,80,0,42,86,11,10,14,5,8.61,1.0
568,1183,0,0,0,0,1,4,5,1,0,133,50,50,5,124,302,52,27,24,4,20.72,0.0
516,1077,0,1,0,0,0,0,2,0,3,72,10,21,45,113,179,24,18,22,17,13.36,0.0
3628,7233,0,0,0,1,1,0,6,0,8,94,15,35,50,63,101,15,19,21,5,15.0,0.0
846,3347,1,0,0,0,1,0,7,1,8,181,39,51,6,85,149,37,15,21,7,16.13,1.0
2149,4273,0,1,0,0,0,4,7,0,1,136,37,55,11,51,80,23,15,24,3,12.67,0.0
139,305,0,0,1,0,1,0,4,1,6,109,31,46,15,79,152,152,45,16,6,21.89,1.0
1847,7367,0,1,0,0,1,3,1,1,8,191,63,63,2,80,133,13,11,25,7,7.28,0.0
1291,5063,0,1,0,0,1,2,4,0,8,167,38,74,5,73,150,19,17,21,6,11.7,1.0
2284,4559,0,0,1,0,1,2,2,0,9,290,52,65,1,21,51,35,37,13,5,28.05,0.0
1027,4063,1,0,0,0,1,0,4,1,7,111,19,32,22,97,168,39,15,17,6,17.14,1.0
1149,2282,0,0,1,0,1,0,4,1,8,192,33,46,10,96,175,11,7,19,14,8.25,1.0
64,236,1,0,0,0,1,0,3,1,6,210,40,74,12,23,33,5,6,23,14,5.21,1.0
2498,4984,0,0,0,0,1,3,2,1,6,486,118,144,0,81,179,16,19,12,6,9.94,0.0
2273,4530,0,1,0,0,0,3,6,1,8,134,44,44,8,72,82,17,17,16,8,7.17,0.0
2526,5036,0,0,1,0,1,0,5,1,9,339,61,104,0,75,91,23,38,16,5,6.74,1.0
463,978,0,1,0,0,0,3,7,1,8,324,50,75,2,44,68,14,11,21,15,8.14,0.0
3307,6592,1,0,0,0,1,3,2,0,2,104,10,28,53,80,184,15,7,7,3,9.14,0.0
3132,6244,1,0,0,0,1,2,5,1,8,534,88,194,1,27,67,13,17,15,3,8.63,1.0
1002,3941,0,1,0,0,1,0,2,0,7,147,29,34,22,53,91,71,67,21,7,23.4,1.0
594,1227,0,0,0,0,1,2,7,1,8,128,30,32,35,48,67,10,7,18,10,7.3,0.0
3080,6123,0,1,0,0,0,2,4,0,9,311,56,62,8,75,195,15,10,17,3,5.31,1.0
1807,3554,0,0,0,0,1,2,5,1,4,144,32,39,9,50,76,7,6,15,7,5.15,0.0
1153,4562,0,1,0,0,1,0,4,1,9,71,23,31,20,74,178,15,14,18,3,12.12,1.0
450,944,0,0,1,0,1,3,4,1,6,176,12,49,41,82,126,7,4,14,4,5.29,0.0
3043,6054,0,1,0,0,1,4,4,1,8,147,22,36,14,16,56,6,5,20,5,4.35,0.0
225,879,0,0,1,0,1,3,4,0,6,151,35,49,7,102,295,18,12,13,9,13.51,0.0
518,1080,0,0,0,0,1,1,4,0,8,153,25,51,14,98,154,20,22,30,4,17.56,0.0
2522,5030,0,1,0,0,1,2,5,1,5,193,61,67,1,91,166,15,16,13,3,7.46,1.0
312,657,0,0,0,0,0,2,5,1,8,152,52,52,5,91,245,15,28,21,4,8.01,0.0
1905,7609,0,1,0,0,1,2,4,1,9,245,66,80,6,48,89,18,13,19,5,14.5,1.0
635,2538,0,1,0,0,1,5,6,0,9,100,21,26,35,50,68,13,11,16,3,10.08,0.0
2647,5300,0,0,0,0,1,0,5,1,8,89,20,23,28,55,78,52,22,20,6,27.09,1.0
3437,6855,1,0,0,0,1,4,2,1,8,125,21,36,27,61,104,11,10,29,3,7.22,0.0
1174,2337,0,0,0,0,1,0,4,0,8,191,38,52,7,85,161,12,7,16,4,11.23,1.0
3532,7042,0,0,0,0,0,3,5,1,9,175,26,66,11,62,76,74,19,28,3,19.62,0.0
451,948,1,0,0,0,1,0,1,0,2,308,40,69,7,98,475,16,10,18,9,9.45,0.0
1054,4170,0,1,0,0,1,2,5,1,8,86,56,56,17,12,32,6,5,16,4,6.21,1.0
3424,6825,1,0,0,0,1,0,4,1,8,83,26,26,24,41,80,12,9,17,4,7.83,1.0
1112,2191,0,0,0,1,1,4,4,1,9,324,69,81,0,36,91,13,10,24,7,8.04,0.0
861,3409,1,0,0,0,1,2,4,0,9,138,17,34,25,97,193,11,14,15,7,10.57,1.0
1578,3098,0,0,0,0,1,0,4,0,8,136,64,64,2,89,124,17,16,16,4,11.46,1.0
890,1762,0,0,0,1,0,2,6,0,9,206,35,67,17,38,57,5,6,22,7,2.48,0.0
1615,3167,0,1,0,0,1,3,4,1,8,124,36,36,29,64,91,9,9,24,4,6.34,1.0
365,1401,0,1,0,0,1,2,4,0,8,196,86,86,2,75,85,85,57,20,2,22.96,1.0
3979,7993,0,0,0,0,1,1,2,1,8,140,55,55,15,53,68,24,11,21,5,8.28,0.0
1697,6715,0,0,0,0,1,4,2,1,6,189,37,60,15,114,143,6,6,15,5,6.91,0.0
1857,7411,0,1,0,0,1,2,3,1,8,141,24,43,29,5,99,99,29,8,6,15.82,1.0
2925,5835,0,0,0,0,1,2,7,0,9,217,62,65,5,50,97,4,3,19,8,3.87,0.0
1263,2492,0,0,0,0,1,3,4,0,1,174,38,60,8,54,63,19,17,19,5,9.89,0.0
1824,7285,0,0,0,0,1,5,2,1,6,292,64,72,7,19,55,53,27,32,4,23.42,0.0
999,1972,0,0,0,1,1,2,6,1,6,396,62,98,0,99,177,8,5,16,5,4.63,0.0
3761,7539,0,0,0,0,1,2,4,1,9,297,81,88,0,70,125,14,11,22,6,10.2,0.0
1359,2672,0,0,0,0,1,0,4,0,9,119,19,35,43,20,81,81,50,23,12,21.54,0.0
2012,7997,0,1,0,0,1,2,3,0,8,277,93,93,0,59,70,24,15,19,4,19.89,1.0
1476,2903,0,1,0,0,1,3,5,0,6,179,35,57,10,111,205,15,18,19,6,11.1,1.0
192,426,0,1,0,0,1,4,4,0,7,215,61,71,1,101,146,10,13,23,6,12.47,1.0
709,2824,0,0,0,1,1,0,4,1,8,100,20,38,26,108,239,20,23,16,6,15.9,1.0
1415,5551,1,0,0,0,1,2,4,0,8,151,36,44,24,49,64,4,3,34,5,2.95,0.0
2792,5604,0,0,1,0,1,0,4,1,8,162,67,67,5,55,79,24,33,16,7,12.46,1.0
1018,4019,0,0,0,0,1,4,4,1,5,119,37,37,21,81,116,5,6,17,3,5.56,0.0
2407,4801,0,1,0,0,1,2,4,1,8,208,59,59,11,79,106,25,25,19,5,16.37,1.0
1074,4248,0,0,0,1,1,3,4,1,3,141,54,54,4,50,82,82,18,16,9,36.24,0.0
1874,3697,1,0,0,0,1,2,3,1,3,303,53,81,2,52,75,20,15,20,10,15.06,0.0
1393,5480,0,1,0,0,1,2,4,0,3,301,60,86,2,69,109,7,6,17,3,3.37,0.0
1338,2636,0,1,0,0,1,2,4,1,8,166,72,72,6,80,128,15,20,18,7,9.77,1.0
3477,6938,0,0,0,0,1,3,1,0,8,155,42,42,12,102,155,15,20,13,7,7.14,0.0
1991,7919,0,1,0,0,1,4,5,0,8,193,41,58,3,11,38,8,5,19,7,4.72,0.0
3871,7765,1,0,0,0,0,4,3,0,8,219,23,36,15,83,173,11,10,15,7,10.38,0.0
2805,5622,0,0,0,0,1,3,1,0,9,230,71,71,5,87,158,28,10,20,3,13.81,0.0
1807,7192,0,0,0,1,1,0,3,1,8,361,149,149,0,113,268,27,23,18,5,13.89,1.0
1293,2549,0,0,0,0,1,2,6,1,8,149,32,42,28,74,107,18,21,18,3,11.87,0.0
1302,5102,0,0,0,1,1,4,2,1,0,184,24,42,13,69,66,30,36,12,2,22.61,0.0
529,2108,0,0,1,0,1,0,6,0,9,344,59,99,1,80,185,7,4,14,5,6.42,1.0
1033,4079,0,0,1,0,1,2,4,1,8,92,33,42,13,20,45,14,6,15,3,7.66,0.0
3519,7019,0,1,0,0,1,0,4,0,9,170,47,47,8,57,118,23,22,27,3,13.39,1.0
2664,5331,0,1,0,0,1,5,4,1,8,333,69,69,4,21,106,106,75,13,7,37.74,1.0
1907,3767,0,1,0,0,1,3,7,1,9,164,59,59,8,17,55,13,9,23,3,7.82,0.0
3758,7534,0,1,0,0,1,3,4,0,7,390,117,127,0,33,49,17,16,15,4,12.14,1.0
170,672,0,0,0,1,1,0,4,1,5,239,43,56,8,64,104,11,6,17,5,7.74,1.0
368,770,0,0,0,0,1,4,1,0,8,123,21,38,48,37,60,33,36,17,9,16.44,0.0
1937,3822,0,0,0,0,1,2,3,1,8,189,53,74,8,107,195,12,20,24,3,8.81,1.0
3573,7117,0,0,0,0,1,0,4,1,7,169,36,38,25,84,136,13,9,39,6,6.67,1.0
1151,2284,0,0,0,0,0,3,2,0,9,234,43,49,3,20,48,11,10,7,7,8.17,0.0
938,3703,0,1,0,0,1,3,3,0,9,263,70,70,2,39,72,22,19,13,6,15.79,1.0
28,92,0,0,0,1,1,2,5,1,8,194,58,60,2,73,126,22,14,28,4,10.98,0.0
2351,4702,1,0,0,0,0,2,6,1,2,111,21,28,25,76,158,12,8,16,3,10.64,0.0
67,241,0,0,1,0,1,2,4,0,8,216,53,57,10,121,150,84,52,18,4,28.71,1.0
1677,6620,0,0,0,0,1,3,2,0,1,184,54,73,8,44,81,34,16,12,7,18.67,0.0
3555,7084,0,1,0,0,1,2,4,0,4,374,155,155,0,82,143,16,19,22,6,6.04,1.0
1872,3695,0,1,0,0,1,0,1,1,7,270,48,74,2,61,98,21,23,15,6,18.05,1.0
1920,7653,0,1,0,0,1,1,4,1,9,346,81,93,1,37,63,15,9,13,4,8.34,1.0
191,423,0,1,0,0,1,2,4,0,8,140,15,30,36,38,80,16,11,23,5,9.71,0.0
2440,4867,1,0,0,0,0,0,3,0,3,159,35,58,14,21,57,12,7,14,4,7.0,0.0
108,238,1,0,0,0,1,2,4,0,9,142,53,58,6,15,43,9,8,18,10,6.3,0.0
174,375,1,0,0,0,1,2,4,1,4,90,15,23,58,46,62,3,4,24,6,5.16,0.0
3169,6329,0,0,0,0,1,2,6,0,8,173,38,38,19,84,112,13,11,29,3,9.25,0.0
3352,6686,0,1,0,0,1,5,7,1,9,287,46,53,2,21,118,118,94,18,6,30.96,0.0
3834,7686,0,1,0,0,1,0,4,0,9,185,28,47,7,51,88,54,42,30,3,25.18,1.0
1598,3134,0,0,0,0,1,3,4,0,6,117,26,30,21,34,80,7,5,16,3,3.92,0.0
1360,2674,1,0,0,0,1,2,4,0,6,388,108,108,0,59,117,23,33,14,8,14.54,1.0
2103,4167,0,1,0,0,1,0,4,1,9,129,14,39,57,34,56,16,12,11,7,13.02,1.0
1236,4854,0,1,0,0,1,3,4,0,8,239,71,87,0,41,61,7,6,19,3,6.85,1.0
1858,7413,0,0,0,0,1,1,5,0,9,193,42,42,15,64,128,13,12,20,3,6.27,0.0
1060,4203,1,0,0,0,1,2,5,0,1,242,45,74,2,24,50,9,6,22,7,6.72,0.0
3580,7127,1,0,0,0,1,2,4,0,5,126,31,49,22,33,58,8,4,15,7,7.77,0.0
1164,2314,1,0,0,0,1,2,4,1,8,229,73,73,1,46,55,18,20,22,4,13.47,1.0
3678,7355,0,0,0,1,1,1,4,1,9,160,42,49,3,80,147,100,50,14,5,32.65,1.0
486,1940,1,0,0,0,1,1,4,1,8,130,19,39,21,114,215,5,5,15,5,3.64,1.0
1661,3269,0,1,0,0,1,1,4,1,8,213,62,68,2,82,114,6,5,17,5,4.23,1.0
508,1062,0,1,0,0,0,2,2,0,4,142,32,45,29,10,39,30,14,13,3,8.89,0.0
166,355,0,0,0,1,0,3,4,0,8,216,54,54,8,7,30,19,21,14,4,9.81,0.0
2787,5594,0,1,0,0,1,2,2,1,1,118,44,44,7,76,180,21,13,20,5,10.53,0.0
128,479,0,1,0,0,1,0,7,1,9,179,25,53,9,90,139,5,5,18,3,4.2,1.0
2254,4485,0,1,0,0,1,2,4,1,8,255,104,104,2,21,43,40,14,20,10,16.45,1.0
3961,7964,1,0,0,0,1,4,5,1,9,214,92,92,2,123,536,17,10,22,7,9.66,1.0
103,226,0,0,0,0,1,1,4,1,6,146,60,60,3,89,140,18,9,14,5,14.6,1.0
2412,4812,0,0,1,0,1,0,4,1,9,122,30,38,8,115,186,6,7,14,4,3.98,1.0
942,3716,0,0,1,0,0,2,5,1,8,277,87,87,1,17,23,23,13,20,3,16.51,0.0
898,3560,0,0,0,0,1,2,2,0,9,187,70,70,7,71,142,8,6,23,7,8.24,0.0
1752,3438,1,0,0,0,1,0,1,0,5,156,25,42,21,42,77,8,4,22,3,5.65,1.0
1371,5408,0,0,0,1,1,0,4,0,8,124,17,29,42,51,86,50,35,20,6,20.3,1.0
