Id ,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
945,-122.0,37.51,7.0,6352.0,1390.0,3223.0,1316.0,4.9867,<1H OCEAN,181700.0
1274,-121.74,37.95,5.0,4980.0,774.0,2399.0,763.0,5.7104,INLAND,186300.0
4464,-118.19,34.08,35.0,1554.0,381.0,1487.0,374.0,1.9038,<1H OCEAN,139500.0
13609,-117.27,34.14,36.0,3795.0,676.0,1742.0,585.0,4.1,INLAND,96400.0
19184,-122.59,38.43,20.0,2791.0,546.0,785.0,512.0,3.4561,<1H OCEAN,216700.0
20062,-119.04,35.96,18.0,1187.0,308.0,1343.0,277.0,1.875,INLAND,51700.0
8366,-118.35,33.97,26.0,3832.0,1074.0,2340.0,904.0,2.6734,<1H OCEAN,143400.0
8238,-118.18,33.77,39.0,1645.0,547.0,1339.0,499.0,1.5536,NEAR OCEAN,155000.0
18966,-122.02,38.26,27.0,3440.0,787.0,2085.0,748.0,2.5896,INLAND,104700.0
9812,-121.93,36.6,33.0,3455.0,683.0,1704.0,663.0,4.0154,NEAR OCEAN,225700.0
9504,-123.36,39.01,35.0,1551.0,321.0,857.0,288.0,2.7232,<1H OCEAN,115400.0
20406,-118.87,34.2,26.0,1924.0,245.0,775.0,244.0,7.001,<1H OCEAN,286800.0
11520,-118.06,33.72,14.0,2665.0,331.0,964.0,319.0,15.0001,NEAR OCEAN,500001.0
16826,-122.49,37.63,31.0,1256.0,328.0,785.0,297.0,3.2446,NEAR OCEAN,234600.0
19916,-119.31,36.31,18.0,3860.0,760.0,1643.0,664.0,2.0714,INLAND,92600.0
16069,-122.49,37.75,47.0,2140.0,425.0,1105.0,401.0,3.7054,NEAR OCEAN,308500.0
18745,-122.31,40.55,11.0,13714.0,2302.0,6511.0,2267.0,3.5522,INLAND,100100.0
11655,-118.01,33.84,29.0,3740.0,691.0,1724.0,638.0,3.9628,<1H OCEAN,215600.0
2788,-118.42,37.35,21.0,3302.0,557.0,1413.0,520.0,4.375,INLAND,180400.0
6268,-117.94,34.05,34.0,1519.0,304.0,1262.0,300.0,3.3409,<1H OCEAN,161200.0
4901,-118.25,34.01,43.0,1429.0,386.0,1412.0,354.0,1.3287,<1H OCEAN,107200.0
1180,-121.54,39.47,14.0,1724.0,315.0,939.0,302.0,2.4952,INLAND,53900.0
13480,-117.37,34.1,44.0,2087.0,447.0,1270.0,423.0,2.3889,INLAND,86100.0
15678,-122.43,37.8,52.0,1976.0,726.0,1045.0,669.0,3.6893,NEAR BAY,475000.0
18329,-122.15,37.45,52.0,2117.0,353.0,734.0,328.0,6.767,NEAR BAY,500001.0
15462,-117.22,33.17,6.0,1487.0,362.0,810.0,322.0,3.625,<1H OCEAN,135700.0
14754,-117.05,32.56,17.0,985.0,233.0,811.0,223.0,2.875,NEAR OCEAN,134500.0
6215,-117.91,34.07,33.0,2938.0,561.0,1519.0,549.0,4.5594,<1H OCEAN,204200.0
5422,-118.42,34.03,44.0,629.0,131.0,326.0,156.0,4.5278,<1H OCEAN,374300.0
3493,-118.48,34.28,35.0,1511.0,274.0,873.0,254.0,5.5608,<1H OCEAN,226700.0
14035,-117.14,32.74,16.0,6075.0,1816.0,2592.0,1634.0,2.5553,NEAR OCEAN,178100.0
7321,-118.18,33.99,38.0,1010.0,315.0,1157.0,301.0,1.6341,<1H OCEAN,161800.0
1459,-121.98,37.97,26.0,2738.0,428.0,1316.0,430.0,5.2442,INLAND,213200.0
7386,-118.24,33.96,30.0,859.0,221.0,912.0,191.0,1.9041,<1H OCEAN,105100.0
8582,-118.4,33.9,,2868.0,466.0,1098.0,438.0,7.9059,<1H OCEAN,477100.0
5358,-118.4,34.05,,2113.0,459.0,859.0,432.0,3.6953,<1H OCEAN,500001.0
20516,-121.52,38.57,43.0,2360.0,471.0,1041.0,452.0,2.89,INLAND,86200.0
7152,-118.16,34.03,,1377.0,293.0,1142.0,272.0,3.1724,<1H OCEAN,141600.0
9932,-122.3,38.29,25.0,1701.0,427.0,1021.0,399.0,3.0404,NEAR BAY,142100.0
7662,-118.22,33.83,44.0,1792.0,404.0,1115.0,358.0,3.9091,<1H OCEAN,174400.0
19219,-122.67,38.47,19.0,1848.0,428.0,1130.0,433.0,3.0568,<1H OCEAN,190300.0
13717,-117.19,34.08,22.0,2467.0,555.0,1567.0,494.0,2.6536,INLAND,84700.0
111,-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,NEAR BAY,218500.0
1586,-121.96,37.85,10.0,3209.0,379.0,1199.0,392.0,12.2478,INLAND,500001.0
1395,-122.07,37.98,12.0,6915.0,1639.0,2940.0,1468.0,4.0154,NEAR BAY,186100.0
6759,-118.12,34.1,49.0,2057.0,430.0,1103.0,414.0,4.0556,<1H OCEAN,282600.0
18753,-122.38,40.69,21.0,1774.0,370.0,875.0,354.0,1.7422,INLAND,61500.0
7558,-118.2,33.91,43.0,1381.0,278.0,1494.0,298.0,3.5878,<1H OCEAN,118400.0
3889,-118.56,34.22,35.0,1843.0,329.0,1041.0,317.0,4.4271,<1H OCEAN,205100.0
19687,-121.63,39.13,,2355.0,531.0,1047.0,497.0,1.8208,INLAND,79500.0
17050,-122.28,37.47,44.0,863.0,114.0,281.0,99.0,6.8879,NEAR OCEAN,500001.0
14720,-117.02,32.8,27.0,2369.0,370.0,927.0,374.0,4.1162,<1H OCEAN,177200.0
5620,-118.25,33.78,32.0,296.0,139.0,511.0,133.0,1.4444,NEAR OCEAN,182100.0
8294,-118.13,33.76,44.0,1543.0,463.0,652.0,406.0,4.25,NEAR OCEAN,439300.0
4851,-118.3,34.03,40.0,1695.0,374.0,1138.0,357.0,2.7125,<1H OCEAN,150000.0
7588,-118.23,33.9,28.0,1108.0,284.0,1498.0,289.0,2.4706,<1H OCEAN,88800.0
13934,-117.32,34.24,29.0,1290.0,263.0,323.0,113.0,1.9265,INLAND,103300.0
18852,-122.3,41.31,29.0,4059.0,787.0,1700.0,702.0,2.4526,INLAND,97100.0
15659,-122.41,37.79,52.0,5783.0,2747.0,4518.0,2538.0,1.724,NEAR BAY,225000.0
7484,-118.21,33.93,41.0,619.0,138.0,636.0,145.0,2.5083,<1H OCEAN,118100.0
4849,-118.31,34.02,,1832.0,441.0,1186.0,420.0,1.2434,<1H OCEAN,98400.0
3299,-122.62,38.95,19.0,2230.0,538.0,832.0,359.0,1.6865,INLAND,58800.0
18715,-122.4,40.57,23.0,1321.0,259.0,749.0,222.0,1.655,INLAND,90100.0
367,-122.13,37.74,41.0,4400.0,666.0,1476.0,648.0,5.0,NEAR BAY,248900.0
6036,-117.73,34.06,34.0,344.0,108.0,315.0,119.0,3.1786,INLAND,117800.0
8079,-118.2,33.82,43.0,1758.0,347.0,954.0,312.0,5.2606,NEAR OCEAN,198900.0
13376,-117.59,34.16,10.0,9467.0,1181.0,3819.0,1122.0,7.8252,INLAND,361400.0
14773,-117.07,32.56,9.0,3648.0,895.0,3293.0,840.0,3.0992,NEAR OCEAN,142600.0
3032,-119.12,35.41,12.0,5589.0,941.0,3018.0,917.0,4.4561,INLAND,96900.0
15286,-117.32,33.15,15.0,13245.0,2212.0,5495.0,2060.0,5.4904,NEAR OCEAN,262100.0
3903,-118.51,34.19,35.0,2537.0,418.0,1161.0,421.0,5.3028,<1H OCEAN,229200.0
6179,-117.92,34.08,36.0,1479.0,251.0,741.0,245.0,4.2986,<1H OCEAN,189600.0
2094,-119.76,36.76,23.0,3800.0,1003.0,3786.0,917.0,1.4766,INLAND,50600.0
15121,-116.94,32.85,31.0,1293.0,232.0,599.0,228.0,4.7578,<1H OCEAN,161000.0
10294,-117.8,33.87,16.0,5954.0,1281.0,3107.0,1209.0,4.2566,<1H OCEAN,206100.0
4469,-118.16,34.09,50.0,1568.0,302.0,1093.0,333.0,3.1442,<1H OCEAN,162100.0
2182,-120.08,36.79,38.0,1446.0,285.0,928.0,255.0,2.9808,INLAND,89600.0
3856,-118.43,34.17,33.0,1679.0,404.0,933.0,412.0,2.6979,<1H OCEAN,266000.0
4459,-118.18,34.1,10.0,1907.0,398.0,921.0,369.0,4.875,<1H OCEAN,200400.0
6601,-118.15,34.18,42.0,1521.0,320.0,1118.0,311.0,3.3125,<1H OCEAN,154900.0
15252,-117.32,33.01,29.0,3584.0,712.0,1619.0,667.0,4.125,NEAR OCEAN,394400.0
8513,-118.31,33.89,35.0,2144.0,423.0,1192.0,417.0,4.1458,<1H OCEAN,231500.0
12376,-116.33,33.75,5.0,19107.0,3923.0,2880.0,1376.0,4.0360000000000005,INLAND,158500.0
9912,-122.29,38.31,45.0,3075.0,754.0,1635.0,723.0,2.2721,NEAR BAY,139800.0
1829,-122.32,37.92,22.0,1119.0,220.0,565.0,199.0,3.3594,NEAR BAY,186900.0
7458,-118.18,33.92,32.0,2035.0,519.0,2282.0,480.0,3.2734,<1H OCEAN,136400.0
20521,-121.53,38.57,34.0,3395.0,592.0,1518.0,627.0,4.0833,INLAND,118500.0
15386,-117.03,33.32,14.0,1088.0,209.0,601.0,193.0,3.8438,<1H OCEAN,243800.0
6086,-117.87,34.08,33.0,3630.0,800.0,2257.0,796.0,3.2469,<1H OCEAN,206900.0
4785,-118.32,34.03,50.0,1845.0,349.0,1109.0,335.0,2.8971,<1H OCEAN,127800.0
9931,-122.3,38.29,20.0,1789.0,434.0,1113.0,398.0,2.4728,NEAR BAY,139700.0
6580,-118.19,34.21,41.0,1602.0,228.0,680.0,225.0,6.553,<1H OCEAN,500001.0
6066,-117.87,34.04,7.0,27700.0,4179.0,15037.0,4072.0,6.6288,<1H OCEAN,339700.0
5838,-118.36,34.2,14.0,1878.0,614.0,1874.0,559.0,2.5267,<1H OCEAN,231800.0
2245,-119.79,36.83,15.0,3356.0,694.0,1232.0,627.0,2.2215,INLAND,72200.0
1484,-122.05,37.95,20.0,563.0,107.0,246.0,123.0,5.4482,NEAR BAY,190800.0
6088,-117.86,34.1,23.0,2535.0,490.0,1327.0,466.0,3.5977,<1H OCEAN,180600.0
19686,-121.62,39.13,41.0,1317.0,309.0,856.0,337.0,1.6719,INLAND,64100.0
20065,-120.4,38.0,17.0,2098.0,370.0,912.0,354.0,2.6544,INLAND,112600.0
4545,-118.2,34.02,48.0,2230.0,593.0,2419.0,598.0,2.3944,<1H OCEAN,130700.0
11043,-117.83,33.82,26.0,3259.0,456.0,1354.0,459.0,5.7817,<1H OCEAN,267600.0
12166,-117.14,33.81,13.0,4496.0,756.0,2044.0,695.0,3.2778,INLAND,148800.0
3647,-118.45,34.22,8.0,2609.0,786.0,1803.0,695.0,2.7714,<1H OCEAN,185700.0
4929,-118.24,33.99,41.0,1425.0,372.0,1803.0,353.0,1.6731,<1H OCEAN,88200.0
5504,-118.43,33.99,43.0,2483.0,548.0,1212.0,493.0,4.0189,<1H OCEAN,302900.0
12704,-121.41,38.58,18.0,6955.0,1882.0,2803.0,1740.0,3.089,INLAND,141400.0
13438,-117.44,34.08,15.0,5024.0,992.0,3208.0,981.0,3.6025,INLAND,116400.0
14419,-117.21,32.8,19.0,786.0,282.0,525.0,229.0,1.7273,NEAR OCEAN,137500.0
3831,-118.43,34.2,29.0,3051.0,694.0,1942.0,679.0,3.1118,<1H OCEAN,238100.0
12627,-121.48,38.51,24.0,979.0,201.0,723.0,205.0,2.5926,INLAND,72300.0
9015,-118.68,34.13,9.0,11251.0,1594.0,3029.0,1227.0,6.7273,<1H OCEAN,500001.0
7676,-118.09,33.92,36.0,1226.0,211.0,711.0,219.0,4.5699,<1H OCEAN,170800.0
13720,-117.18,34.07,28.0,1306.0,279.0,885.0,255.0,2.1154,INLAND,75300.0
13996,-117.02,34.88,18.0,2127.0,443.0,1168.0,401.0,3.0313,-,80000.0
9863,-121.85,36.59,42.0,891.0,203.0,525.0,212.0,3.3156,<1H OCEAN,186300.0
4915,-118.27,34.0,48.0,1869.0,461.0,1834.0,441.0,1.7052,<1H OCEAN,107400.0
13400,-117.43,34.12,7.0,5954.0,1071.0,3567.0,1070.0,3.2056,INLAND,134100.0
19085,-122.58,38.38,27.0,3800.0,728.0,1587.0,605.0,4.7237,<1H OCEAN,306600.0
17220,-119.72,34.47,,3262.0,533.0,1265.0,502.0,5.8411,<1H OCEAN,381800.0
6690,-118.08,34.14,52.0,1282.0,189.0,431.0,187.0,6.1159,INLAND,470800.0
15719,-122.44,37.78,,1181.0,310.0,901.0,281.0,1.4866,NEAR BAY,237500.0
10312,-117.78,33.89,7.0,9729.0,1210.0,4160.0,1214.0,8.9088,<1H OCEAN,415300.0
468,-122.29,37.87,44.0,2539.0,755.0,1382.0,713.0,2.537,NEAR BAY,175000.0
27,-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,NEAR BAY,105500.0
16485,-121.15,38.21,18.0,4176.0,700.0,2164.0,699.0,4.0365,INLAND,174200.0
16158,-122.5,37.77,52.0,2433.0,454.0,1070.0,420.0,4.125,NEAR BAY,359500.0
4147,-118.2,34.13,50.0,2929.0,588.0,1931.0,574.0,3.3438,<1H OCEAN,173600.0
17345,-120.43,34.86,17.0,1932.0,347.0,874.0,312.0,3.8203,<1H OCEAN,141500.0
805,-122.06,37.64,33.0,1160.0,252.0,729.0,220.0,3.8259,NEAR BAY,146100.0
17557,-121.89,37.33,42.0,1279.0,358.0,1254.0,340.0,2.2583,<1H OCEAN,192500.0
9767,-121.31,36.42,21.0,2740.0,615.0,2630.0,564.0,2.6629,<1H OCEAN,102700.0
14826,-117.09,32.66,38.0,833.0,206.0,570.0,182.0,1.8333,NEAR OCEAN,127100.0
7729,-118.13,33.93,38.0,2040.0,458.0,1775.0,445.0,3.5227,<1H OCEAN,202400.0
18147,-122.04,37.35,28.0,1582.0,264.0,,270.0,5.678,<1H OCEAN,370100.0
13758,-117.15,34.03,32.0,2832.0,393.0,1033.0,385.0,6.5648,INLAND,237200.0
13961,-116.88,34.24,13.0,4137.0,796.0,573.0,218.0,4.6394,INLAND,226500.0
1143,-121.5,39.83,15.0,1896.0,408.0,893.0,334.0,1.6948,INLAND,87500.0
16908,-122.37,37.58,34.0,2697.0,313.0,810.0,279.0,12.4291,NEAR OCEAN,500001.0
2737,-115.56,32.78,46.0,2511.0,490.0,1583.0,469.0,3.0603,INLAND,70800.0
15019,-117.02,32.78,33.0,3481.0,708.0,1726.0,719.0,3.3675,<1H OCEAN,158200.0
15550,-117.08,33.11,28.0,2094.0,585.0,1556.0,563.0,2.2,<1H OCEAN,127700.0
20533,-121.67,38.54,13.0,6141.0,1019.0,2553.0,967.0,4.2432,INLAND,326500.0
8550,-118.35,33.88,36.0,1567.0,362.0,1054.0,386.0,3.2594,<1H OCEAN,233900.0
11943,-117.43,33.95,36.0,2284.0,444.0,1425.0,405.0,4.0526,INLAND,104500.0
9252,-120.08,36.96,36.0,2074.0,349.0,954.0,363.0,3.1136,INLAND,73800.0
11731,-120.81,39.02,30.0,806.0,189.0,326.0,146.0,2.8155,INLAND,101000.0
9527,-123.16,39.1,31.0,418.0,82.0,327.0,81.0,2.775,<1H OCEAN,120800.0
8873,-118.41,34.07,47.0,2979.0,626.0,1076.0,571.0,3.9904,<1H OCEAN,500001.0
8522,-118.34,33.9,37.0,542.0,105.0,355.0,118.0,5.5133,<1H OCEAN,227300.0
5964,-117.81,34.08,13.0,18448.0,2474.0,7775.0,2397.0,7.7876,INLAND,348900.0
16359,-121.31,37.99,23.0,3135.0,707.0,1650.0,680.0,1.886,INLAND,105300.0
8171,-118.12,33.8,35.0,1835.0,435.0,774.0,418.0,2.7092,<1H OCEAN,256300.0
18383,-121.8,37.19,45.0,1797.0,303.0,870.0,281.0,4.5417,<1H OCEAN,434500.0
3742,-118.39,34.19,36.0,904.0,191.0,627.0,191.0,2.4167,<1H OCEAN,192900.0
6583,-118.21,34.21,41.0,1676.0,263.0,757.0,255.0,4.7734,<1H OCEAN,450800.0
8871,-118.41,34.06,43.0,2665.0,556.0,1015.0,506.0,4.1411,<1H OCEAN,500001.0
83,-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,NEAR BAY,137500.0
13813,-117.04,34.89,37.0,1884.0,366.0,1052.0,353.0,3.175,INLAND,66800.0
925,-121.92,37.48,23.0,4314.0,676.0,,623.0,5.3813,<1H OCEAN,264400.0
6584,-118.22,34.23,34.0,3296.0,483.0,1268.0,478.0,8.4802,<1H OCEAN,500001.0
12442,-116.08,33.86,16.0,381.0,89.0,182.0,75.0,2.425,INLAND,76100.0
18768,-122.24,40.51,,2216.0,378.0,1006.0,338.0,4.559,INLAND,116800.0
15414,-117.27,33.22,5.0,2283.0,337.0,999.0,325.0,5.0249,<1H OCEAN,196700.0
10256,-117.87,33.88,28.0,2612.0,602.0,1682.0,563.0,3.6417,<1H OCEAN,204300.0
13023,-121.23,38.67,27.0,5266.0,971.0,2432.0,948.0,3.8954,INLAND,133000.0
1448,-122.01,37.98,34.0,1256.0,267.0,638.0,252.0,4.0507,NEAR BAY,161000.0
9492,-123.2,39.23,26.0,786.0,168.0,494.0,161.0,2.3583,<1H OCEAN,105400.0
15075,-117.0,32.8,29.0,2045.0,398.0,912.0,368.0,3.0189,<1H OCEAN,144100.0
12490,-121.47,38.57,39.0,1360.0,368.0,589.0,338.0,2.1691,INLAND,150000.0
17242,-119.67,34.38,28.0,1814.0,526.0,849.0,420.0,3.1625,<1H OCEAN,364300.0
2536,-121.94,39.45,39.0,844.0,161.0,535.0,165.0,1.832,INLAND,70500.0
5349,-118.42,34.05,52.0,2533.0,402.0,981.0,386.0,7.8164,<1H OCEAN,500001.0
16822,-122.53,37.65,20.0,4582.0,1124.0,2325.0,1040.0,4.0556,NEAR OCEAN,275000.0
9251,-120.09,36.95,16.0,3222.0,511.0,1425.0,503.0,4.1544,INLAND,119400.0
7897,-118.07,33.85,16.0,3771.0,606.0,2196.0,564.0,7.0113,<1H OCEAN,319700.0
19674,-120.83,37.51,,3795.0,604.0,1639.0,609.0,4.6635,INLAND,198400.0
16996,-122.26,37.54,5.0,1649.0,388.0,779.0,376.0,6.9635,NEAR BAY,417300.0
15767,-122.43,37.77,52.0,2685.0,629.0,1170.0,614.0,3.6894,NEAR BAY,418800.0
2798,-117.69,36.13,25.0,1709.0,439.0,632.0,292.0,1.7868,INLAND,45500.0
17783,-121.83,37.37,43.0,1461.0,284.0,800.0,258.0,3.2279,<1H OCEAN,182400.0
19898,-119.25,36.27,23.0,1494.0,275.0,678.0,235.0,2.6875,INLAND,69100.0
17382,-120.41,34.96,21.0,1774.0,263.0,724.0,237.0,4.65,<1H OCEAN,152500.0
6950,-118.07,33.99,35.0,1625.0,302.0,1134.0,288.0,4.5595,<1H OCEAN,164900.0
7403,-118.23,33.95,27.0,504.0,142.0,789.0,167.0,0.9518,<1H OCEAN,91400.0
8072,-118.17,33.82,52.0,2539.0,497.0,1152.0,488.0,4.1354,NEAR OCEAN,268200.0
2561,-124.15,40.8,47.0,1486.0,335.0,765.0,329.0,1.755,NEAR OCEAN,74100.0
7627,-118.27,33.86,26.0,1097.0,167.0,701.0,188.0,6.5799,<1H OCEAN,196600.0
5595,-118.25,33.79,32.0,1205.0,340.0,1799.0,370.0,2.375,NEAR OCEAN,128000.0
13852,-117.28,34.51,10.0,4676.0,884.0,2845.0,812.0,3.0181,INLAND,100400.0
2324,-119.73,36.83,14.0,3348.0,491.0,1584.0,493.0,5.0828,INLAND,111400.0
18229,-122.09,37.4,22.0,1489.0,436.0,662.0,470.0,3.5179,NEAR BAY,197200.0
12567,-121.42,38.54,18.0,2525.0,501.0,1726.0,468.0,2.398,INLAND,87600.0
4863,-118.27,34.03,51.0,1280.0,422.0,1560.0,381.0,1.7115,<1H OCEAN,125000.0
10128,-117.9,33.93,12.0,4325.0,1191.0,1897.0,1080.0,3.3173,<1H OCEAN,247400.0
8813,-118.31,33.75,34.0,2338.0,393.0,1031.0,373.0,6.287000000000001,NEAR OCEAN,396400.0
8191,-118.12,33.79,43.0,1471.0,301.0,767.0,311.0,4.3317,<1H OCEAN,232400.0
5441,-118.44,34.0,44.0,1798.0,353.0,835.0,314.0,4.75,<1H OCEAN,355800.0
10532,-117.71,33.57,6.0,3673.0,881.0,1846.0,768.0,4.877,<1H OCEAN,144300.0
7153,-118.15,34.03,44.0,603.0,207.0,588.0,218.0,2.0536,<1H OCEAN,186400.0
17608,-121.9,37.29,36.0,1389.0,225.0,623.0,223.0,6.6331,<1H OCEAN,283300.0
8727,-118.37,33.84,32.0,1751.0,328.0,819.0,323.0,6.7105,<1H OCEAN,339000.0
5341,-118.44,34.04,49.0,32.0,7.0,14.0,7.0,2.1875,<1H OCEAN,225000.0
3730,-118.41,34.19,45.0,1106.0,225.0,595.0,228.0,3.6625,<1H OCEAN,190700.0
14888,-117.08,32.62,36.0,1674.0,309.0,818.0,307.0,3.4773,NEAR OCEAN,150400.0
12441,-116.19,33.69,11.0,5692.0,1346.0,5682.0,1273.0,2.5383,INLAND,74000.0
13826,-117.18,34.48,8.0,3561.0,691.0,2156.0,659.0,2.7778,INLAND,86900.0
10105,-117.95,33.92,18.0,2825.0,660.0,1590.0,643.0,3.6106,<1H OCEAN,153600.0
14673,-117.11,32.82,17.0,1787.0,330.0,1341.0,314.0,2.875,NEAR OCEAN,112500.0
11642,-118.06,33.83,17.0,1973.0,516.0,1112.0,501.0,3.8512,<1H OCEAN,163800.0
8689,-118.33,33.87,36.0,2219.0,406.0,1219.0,403.0,4.2614,<1H OCEAN,267100.0
15429,-117.24,33.21,18.0,1846.0,419.0,1581.0,387.0,3.0982,<1H OCEAN,111300.0
13120,-121.27,38.31,17.0,1144.0,202.0,626.0,178.0,4.4107,INLAND,151600.0
13664,-117.31,34.03,9.0,1199.0,187.0,629.0,207.0,5.7393,INLAND,151600.0
11051,-117.86,33.79,31.0,3523.0,922.0,2660.0,949.0,3.1792,<1H OCEAN,146400.0
11775,-121.33,38.77,3.0,20214.0,3559.0,8361.0,3112.0,4.2259,INLAND,169300.0
4502,-118.2,34.05,43.0,1165.0,317.0,1279.0,303.0,1.9615,<1H OCEAN,141700.0
3980,-118.61,34.19,34.0,703.0,127.0,369.0,127.0,4.3125,<1H OCEAN,210100.0
1351,-121.94,38.03,27.0,1654.0,478.0,1141.0,420.0,1.4871,INLAND,87100.0
20630,-121.32,39.29,11.0,2640.0,505.0,1257.0,445.0,3.5673,INLAND,112000.0
2163,-119.82,36.77,41.0,1441.0,274.0,646.0,296.0,3.0568,INLAND,71300.0
7584,-118.22,33.9,22.0,312.0,107.0,583.0,119.0,1.9423,<1H OCEAN,98400.0
2896,-118.97,35.37,52.0,425.0,119.0,380.0,97.0,1.4125,INLAND,42500.0
6627,-118.14,34.17,40.0,1054.0,251.0,1056.0,276.0,2.3,<1H OCEAN,146700.0
12939,-121.27,38.66,15.0,2642.0,520.0,1032.0,475.0,4.1382,INLAND,189800.0
18970,-122.01,38.27,17.0,9089.0,1542.0,4758.0,1520.0,4.0619,INLAND,126600.0
17300,-119.52,34.39,23.0,1414.0,365.0,889.0,345.0,2.6397,NEAR OCEAN,250000.0
10952,-117.87,33.75,12.0,2782.0,1077.0,1968.0,795.0,0.971,<1H OCEAN,102500.0
15047,-116.95,32.78,20.0,3425.0,448.0,1489.0,443.0,6.2552,<1H OCEAN,296400.0
19709,-121.63,39.18,13.0,1907.0,347.0,821.0,367.0,2.0978,INLAND,134000.0
6323,-117.98,33.98,27.0,2275.0,346.0,1039.0,333.0,6.2217,<1H OCEAN,333500.0
14692,-117.11,32.79,16.0,2574.0,771.0,1129.0,721.0,3.3849,NEAR OCEAN,96900.0
13591,-117.29,34.11,35.0,2014.0,677.0,1714.0,612.0,0.7075,INLAND,78800.0
875,-122.03,37.56,24.0,8444.0,1492.0,4446.0,1491.0,4.6978,NEAR BAY,240300.0
16109,-122.5,37.74,45.0,1771.0,349.0,1098.0,342.0,3.7552,NEAR OCEAN,296600.0
